SchoolName,Graduate,Dropout,All Students,Male,White,English Language Learners,Low-Income,Expenditure,DisciplineInt,Male.p,White.p,ELL.p,Low-Income.p
Pace Alternative High School,6.0,16.0,27,17,3,15,25,1706273.3,above_10,62.96296296296296,11.11111111111111,55.55555555555556,92.5925925925926
Wapato High School,172.0,12.0,181,87,5,45,165,12069834.4,2_to_4,48.06629834254144,2.7624309392265194,24.861878453038674,91.16022099447514
Warden High School,53.0,4.0,65,33,18,7,37,4394098.2,2_to_4,50.76923076923077,27.692307692307693,10.76923076923077,56.92307692307692
Washougal High School,200.0,10.0,278,147,221,2,101,13970530.8,below_2,52.87769784172662,79.49640287769785,0.7194244604316548,36.330935251798564
Wellpinit Fort Simcoe SEA,12.0,32.0,42,26,19,0,13,892763.2,2_to_4,61.904761904761905,45.23809523809524,0.0,30.952380952380953
Wellpinit High School,18.0,0.0,19,10,1,5,14,2809498.0,7_10,52.63157894736842,5.263157894736842,26.31578947368421,73.68421052631578
Wenatchee High School,465.0,19.0,532,258,272,52,269,25073381.4,2_to_4,48.49624060150376,51.127819548872175,9.774436090225564,50.56390977443609
Westside High School,57.0,34.0,139,78,67,23,81,4217393.1,2_to_4,56.11510791366906,48.201438848920866,16.546762589928058,58.27338129496403
Dishman Hills High School,86.0,24.0,133,11,90,3,127,2841754.7,below_2,8.270676691729323,67.66917293233082,2.2556390977443606,95.48872180451127
Spokane Valley Transition School,46.0,23.0,67,36,53,0,47,1729909.5,2_to_4,53.73134328358209,79.1044776119403,0.0,70.1492537313433
West Valley High School,194.0,2.0,202,92,159,4,80,10873142.9,below_2,45.54455445544555,78.71287128712872,1.9801980198019802,39.603960396039604
West Valley High School,305.0,45.0,373,204,246,13,147,13450257.8,4_to_7,54.6916890080429,65.95174262734585,3.485254691689008,39.41018766756032
WEST VALLEY VIRTUAL ACADEMY 9-12,4.0,64.0,43,26,26,1,9,149679.8,2_to_4,60.46511627906976,60.46511627906976,2.3255813953488373,20.930232558139537
White Pass Jr. Sr. High School,31.0,8.0,38,19,34,0,19,3575849.3,7_10,50.0,89.47368421052632,0.0,50.0
White River High School,264.0,11.0,308,174,250,5,77,16121469.9,2_to_4,56.493506493506494,81.16883116883116,1.6233766233766231,25.0
Columbia High School,82.0,4.0,92,50,60,4,33,5281474.2,2_to_4,54.347826086956516,65.21739130434783,4.3478260869565215,35.869565217391305
White Salmon Academy,12.0,3.0,15,9,6,4,11,245089.6,7_10,60.0,40.0,26.666666666666668,73.33333333333333
Winolequa Learning Academy,10.0,1.0,13,10,10,0,13,387481.0,7_10,76.92307692307693,76.92307692307693,0.0,100.0
Woodland Alternative School,16.0,14.0,30,16,27,0,15,770717.1,4_to_7,53.333333333333336,90.0,0.0,50.0
Woodland High School,154.0,16.0,193,107,151,4,84,10322531.4,2_to_4,55.44041450777202,78.23834196891191,2.072538860103627,43.523316062176164
Davis High School,426.0,42.0,540,254,62,93,384,27474758.0,2_to_4,47.03703703703704,11.481481481481481,17.22222222222222,71.11111111111111
Eisenhower High School,396.0,75.0,552,273,128,113,392,25617146.1,4_to_7,49.45652173913043,23.18840579710145,20.47101449275362,71.01449275362319
Stanton Academy,13.0,49.0,122,55,18,28,113,4537883.0,7_10,45.08196721311475,14.754098360655737,22.950819672131146,92.62295081967213
Yakima Online,8.0,6.0,33,10,9,4,22,853457.3,4_to_7,30.303030303030305,27.27272727272727,12.121212121212121,66.66666666666666
Yelm Extension School,17.0,25.0,86,38,69,0,47,1197623.1,below_2,44.18604651162791,80.23255813953489,0.0,54.65116279069767
Yelm High School 12,305.0,13.0,380,183,279,6,135,19862719.6,2_to_4,48.1578947368421,73.42105263157895,1.5789473684210527,35.526315789473685
Zillah High School,105.0,8.0,112,62,60,6,50,5832535.3,2_to_4,55.35714285714286,53.57142857142857,5.357142857142857,44.642857142857146
