,County,DistrictCode,DistrictName,SchoolCode,SchoolName,CurrentSchoolType,GradeLevel,All Students,Female,Gender X,Male,American Indian/ Alaskan Native,Asian,Black/ African American,Hispanic/ Latino of any race(s),Native Hawaiian/ Other Pacific Islander,Two or More Races,White,English Language Learners,Foster Care,Highly Capable,Homeless,Low-Income,Migrant,Military Parent,Mobile,Section 504,Students with Disabilities,Non-English Language Learners,Non-Foster Care,Non-Highly Capable,Non-Homeless,Non-Low Income,Non Migrant,BegginingGrade9,TransferIn,Year1Dropout,Year2Dropout,Year3Dropout,Year4Dropout,TransferOut,FinalCohort,Graduate,Continuing,Dropout,GraduationRate,DisciplineRate,Expenditure
263,Adams,1147.0,Othello School District,3015.0,Othello High School,P,12th Grade,242,133,0,109,0,1,1,219,1,0,20,58,0,0,2,198,24,3,11,5,31,184,242,242,240,44,218,247.0,21.0,3.0,5.0,8.0,4.0,19.0,249.0,217.0,12.0,20.0,0.8715,3.20%,13985098.0
264,Franklin,11001.0,Pasco School District,5164.0,Chiawana Senior High School,P,12th Grade,696,344,0,352,0,18,10,434,1,16,217,117,0,36,26,405,63,0,32,17,96,579,695,660,670,291,633,626.0,69.0,1.0,6.0,8.0,25.0,68.0,627.0,543.0,44.0,40.0,0.866,<1%,36481816.1
265,Franklin,11001.0,Pasco School District,3912.0,New Horizons High School,A,12th Grade,196,86,0,110,2,2,2,164,1,4,21,47,0,1,21,159,18,0,37,9,18,149,196,195,175,37,178,163.0,7.0,,8.0,17.0,29.0,6.0,164.0,31.0,79.0,54.0,0.189,8.60%,4012085.7
266,Franklin,11001.0,Pasco School District,2917.0,Pasco Senior High School,P,12th Grade,557,277,0,280,0,6,10,443,0,10,88,131,0,21,22,395,40,0,41,7,85,426,556,536,535,162,517,521.0,83.0,5.0,2.0,13.0,26.0,72.0,532.0,444.0,42.0,46.0,0.8346,2.80%,29619811.1
267,Lewis,21301.0,Pe Ell School District,2858.0,Pe Ell School,P,12th Grade,21,8,0,13,1,0,0,1,0,4,15,0,0,0,2,9,0,0,1,0,5,21,21,21,19,12,21,19.0,3.0,,,,1.0,3.0,19.0,17.0,1.0,1.0,0.8947,<10%,4942885.9
268,Pierce,27401.0,Peninsula School District,4081.0,Gig Harbor High,P,12th Grade,446,222,0,224,2,11,5,40,4,41,343,14,0,28,13,68,0,9,15,40,30,432,444,418,433,378,446,415.0,68.0,1.0,2.0,5.0,15.0,63.0,420.0,372.0,25.0,23.0,0.8857,2.20%,18982511.0
269,Pierce,27401.0,Peninsula School District,1516.0,Henderson Bay Alt High School,A,12th Grade,79,37,0,42,1,1,2,4,0,6,65,0,0,0,2,24,0,0,18,3,30,79,79,79,77,55,79,50.0,,,1.0,3.0,11.0,10.0,40.0,14.0,11.0,15.0,0.35,<3%,3784450.4
270,Pierce,27401.0,Peninsula School District,2681.0,Peninsula High School,P,12th Grade,345,171,0,174,1,10,4,30,2,37,261,9,0,15,17,107,0,9,17,15,41,336,344,330,328,238,345,315.0,46.0,,1.0,2.0,22.0,44.0,317.0,278.0,14.0,25.0,0.877,2.00%,19330709.9
271,Clallam,5121.0,Port Angeles School District,4003.0,Lincoln High School,A,12th Grade,36,19,0,17,3,0,0,3,0,5,25,0,0,0,4,27,0,0,15,3,9,36,35,36,32,9,36,37.0,9.0,,1.0,4.0,13.0,5.0,41.0,10.0,13.0,18.0,0.2439,9.30%,1451494.2
272,Clallam,5121.0,Port Angeles School District,2908.0,Port Angeles High School,P,12th Grade,260,133,0,127,9,6,1,24,1,21,198,9,0,27,4,101,0,1,6,24,16,251,259,233,256,159,260,252.0,40.0,,1.0,9.0,12.0,35.0,257.0,231.0,4.0,22.0,0.8988,<1%,15458937.1
273,Jefferson,16050.0,Port Townsend School District,2503.0,Port Townsend High School,P,12th Grade,86,40,0,46,2,4,1,3,1,6,69,3,0,6,0,43,1,0,9,5,14,83,85,80,86,43,85,71.0,17.0,,,1.0,6.0,14.0,74.0,66.0,1.0,7.0,0.8919,4.40%,4985321.6
274,Benton,3116.0,Prosser School District,2508.0,Prosser High School,P,12th Grade,247,122,0,125,0,5,0,157,0,6,79,18,0,7,6,145,49,2,14,5,37,229,247,240,241,102,198,219.0,22.0,,1.0,3.0,13.0,16.0,225.0,192.0,16.0,17.0,0.8533,1.50%,10926645.1
275,Whitman,38267.0,Pullman School District,2499.0,Pullman High School,P,12th Grade,207,99,0,108,1,20,10,23,1,11,141,2,0,15,6,51,0,1,11,23,17,205,205,192,201,156,207,221.0,30.0,1.0,2.0,2.0,4.0,49.0,202.0,191.0,2.0,9.0,0.9455,1.40%,10152913.1
276,Pierce,27003.0,Puyallup School District,3972.0,E B Walker High School,A,12th Grade,50,22,0,28,1,0,1,15,1,4,28,3,0,0,11,36,0,0,11,8,2,47,50,50,39,14,50,57.0,10.0,,,6.0,12.0,5.0,62.0,36.0,8.0,18.0,0.5806,12.90%,2418544.4
277,Pierce,27003.0,Puyallup School District,4540.0,Emerald Ridge High School,P,12th Grade,512,243,0,269,8,20,15,84,6,56,323,14,0,42,11,146,0,19,13,42,63,498,511,470,501,366,512,477.0,56.0,,7.0,2.0,19.0,45.0,488.0,450.0,10.0,28.0,0.9221,3.20%,18853846.0
278,Pierce,27003.0,Puyallup School District,3645.0,Gov John Rogers High School,P,12th Grade,620,283,0,337,6,52,40,76,15,92,339,22,0,31,17,207,1,19,21,45,90,598,617,589,603,413,619,572.0,55.0,,10.0,11.0,16.0,34.0,593.0,530.0,26.0,37.0,0.8938,3.80%,20973329.6
279,Pierce,27003.0,Puyallup School District,2125.0,Puyallup High School,P,12th Grade,620,291,0,329,2,34,31,77,5,66,405,14,0,66,18,191,0,7,31,63,79,606,617,554,602,429,620,564.0,41.0,,3.0,12.0,18.0,32.0,573.0,526.0,14.0,33.0,0.918,4.40%,21731757.4
280,Pierce,27003.0,Puyallup School District,1640.0,Puyallup Online Academy/POA,A,12th Grade,53,31,0,22,0,0,3,6,1,3,40,1,0,1,4,20,0,1,11,7,4,52,53,52,49,33,53,68.0,13.0,,3.0,4.0,13.0,5.0,76.0,28.0,28.0,20.0,0.3684,<3%,2518637.7
281,Clallam,5402.0,Quillayute Valley School District,2349.0,Forks High School,P,12th Grade,77,30,0,47,6,0,0,20,0,5,46,3,0,8,1,41,1,0,2,2,16,74,77,69,76,36,76,72.0,8.0,,4.0,4.0,1.0,4.0,76.0,64.0,3.0,9.0,0.8421,<4%,7029091.6
282,Clallam,5402.0,Quillayute Valley School District,5071.0,Insight School of Washington,5,12th Grade,843,497,0,346,10,17,31,144,8,77,556,19,0,0,60,410,2,40,198,56,159,824,839,843,783,433,841,764.0,169.0,29.0,71.0,100.0,173.0,108.0,825.0,238.0,214.0,373.0,0.2885,<1%,22088493.7
283,Grant,13144.0,Quincy School District,3088.0,Quincy High School,P,12th Grade,186,94,0,92,0,0,1,160,0,0,25,34,0,0,5,152,15,0,8,4,16,152,185,186,181,34,171,190.0,20.0,2.0,3.0,2.0,14.0,17.0,193.0,161.0,11.0,21.0,0.8342,2.60%,11458860.9
284,Grant,13144.0,Quincy School District,1506.0,Quincy Innovation Academy,A,12th Grade,15,7,0,8,0,0,0,12,0,0,3,2,0,0,2,14,2,0,4,0,0,13,15,15,13,1,13,20.0,3.0,,1.0,8.0,7.0,1.0,22.0,5.0,1.0,16.0,0.2273,<10%,932919.8
285,Thurston,34307.0,Rainier School District,2468.0,Rainier Senior High School,P,12th Grade,59,31,0,28,0,0,0,1,0,5,53,0,0,0,0,19,0,2,0,3,9,59,58,59,59,40,59,65.0,12.0,,2.0,1.0,,18.0,59.0,56.0,0.0,3.0,0.9492,<5%,3924158.4
286,King,17403.0,Renton School District,3630.0,Hazen Senior High School,P,12th Grade,429,203,0,226,3,126,24,96,0,17,163,24,0,0,14,138,1,0,18,24,35,405,428,429,415,291,428,407.0,46.0,3.0,10.0,6.0,29.0,19.0,434.0,380.0,6.0,48.0,0.8756,2.10%,21635607.1
287,King,17403.0,Renton School District,3741.0,Lindbergh Senior High School,P,12th Grade,289,139,0,150,3,93,31,60,3,14,85,20,0,1,7,129,0,0,20,10,33,269,287,288,282,160,289,250.0,47.0,2.0,2.0,9.0,9.0,13.0,284.0,235.0,27.0,22.0,0.8275,3.30%,17036801.4
